N,P,K,temperature,humidity,ph,soil_type,ingredient,fertilizer,crop
57,43,27,21.95897065218499,56.078979024060295,6.750660339908908,Loamy,Complete Fertilizer,Superphosphate,Soybean
73,50,30,28.638303087923404,67.62757613328205,6.994156534258058,Loamy,Nitrogen Fertilizer,Ammonium Nitrate,Soybean
60,53,41,23.080526969290712,71.03418783252421,5.937427777813078,Sandy,Nitrogen Fertilizer,Potash,Soybean
66,40,43,22.467187620514352,70.40335656340918,5.619886601722617,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Rice
57,38,36,16.58210549934946,62.244550726000945,5.761947485988348,Loamy,Potassium Fertilizer,Superphosphate,Corn
84,31,31,24.85170157086441,50.461846750739255,6.7119939345420505,Clayey,Nitrogen Fertilizer,Calcium Nitrate,Corn
84,41,51,27.331547409003385,67.4877817041279,7.198892812451471,Clayey,Organic Compost,Calcium Nitrate,Wheat
82,32,34,20.706300112613434,57.59304617538827,5.589993642470849,Loamy,Potassium Fertilizer,Calcium Nitrate,Rice
54,32,35,26.63417776387991,63.50762738428671,6.968302518083292,Clayey,Potassium Fertilizer,Urea,Soybean
91,30,41,29.467149808512175,78.72743045251451,6.182637291900104,Loamy,Organic Compost,Calcium Nitrate,Wheat
88,37,47,18.056496886915337,61.97105952927304,6.457056739839045,Loamy,Complete Fertilizer,Ammonium Nitrate,Rice
90,51,39,22.84994446792112,75.19404819993281,7.357719099691131,Loamy,Organic Compost,Ammonium Nitrate,Barley
77,57,52,19.307069371268632,55.65621817247754,6.163943009471691,Clayey,Organic Compost,Potash,Rice
56,58,29,26.892816285507593,70.17381494075087,6.430673867878972,Loamy,Complete Fertilizer,Calcium Nitrate,Wheat
58,37,59,23.663900488217365,79.3102086331683,5.527364829521362,Clayey,Complete Fertilizer,Calcium Nitrate,Corn
57,40,51,24.518736263254556,53.0567930261881,5.663197440009677,Loamy,Complete Fertilizer,Superphosphate,Soybean
61,38,52,26.96871239423841,50.24959826681576,6.017183182269568,Loamy,Complete Fertilizer,Urea,Barley
83,34,21,20.939557089936823,63.00748377897843,5.555704481642149,Sandy,Complete Fertilizer,Potash,Rice
82,43,52,28.726351026105647,52.77876449154102,6.762750652096502,Sandy,Organic Compost,Calcium Nitrate,Wheat
97,57,52,22.9954330086921,72.45153049028694,6.3527967136032455,Sandy,Phosphorus Fertilizer,Superphosphate,Wheat
72,59,32,17.36932234253022,77.43645991545677,6.596290405456044,Clayey,Phosphorus Fertilizer,Urea,Soybean
73,32,49,25.438486772532038,63.02062918126276,5.849294371792659,Clayey,Nitrogen Fertilizer,Potash,Wheat
86,50,52,26.898920256573817,57.76134926466323,6.091864058873233,Loamy,Phosphorus Fertilizer,Potash,Wheat
84,34,32,19.7514251560129,63.03209957019829,6.82764894970545,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Soybean
93,34,45,27.857688854981294,71.70343453550004,7.4306054472608,Loamy,Organic Compost,Potash,Barley
89,48,41,28.592148821486497,50.27162484741113,5.600833547204418,Loamy,Complete Fertilizer,Superphosphate,Corn
71,56,58,19.153567310667135,67.68361968454091,7.280768641710532,Clayey,Complete Fertilizer,Potash,Corn
76,43,21,29.75282209072833,68.39875054662137,6.653762402622417,Loamy,Organic Compost,Ammonium Nitrate,Rice
84,55,57,17.110672920731375,69.13064740687807,6.627839133511247,Loamy,Phosphorus Fertilizer,Superphosphate,Barley
50,59,58,18.03023502603735,57.260662399426316,6.500557070415521,Sandy,Organic Compost,Urea,Rice
84,33,45,17.76337258857039,71.4215817013438,5.638788171808367,Loamy,Nitrogen Fertilizer,Urea,Corn
86,54,34,28.409845650118058,52.74174458995329,5.679753703472321,Loamy,Complete Fertilizer,Calcium Nitrate,Soybean
96,42,53,24.814388284874425,55.97811009400402,6.701824011318172,Loamy,Potassium Fertilizer,Calcium Nitrate,Wheat
63,39,59,17.281564248334092,76.32410139963446,6.181917142871116,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Corn
52,54,30,21.604851275525235,72.16169452179699,7.334536133155361,Sandy,Nitrogen Fertilizer,Urea,Barley
50,47,22,24.229470376047033,50.41236662034036,6.313181074718944,Loamy,Organic Compost,Urea,Corn
54,37,25,16.25196127484075,57.451287811094005,5.786562917405282,Loamy,Phosphorus Fertilizer,Urea,Barley
75,37,28,28.236245526110082,56.43219448979494,6.929437667004072,Sandy,Complete Fertilizer,Urea,Barley
63,36,25,27.054053031623027,58.12418984110918,6.08670684288202,Loamy,Potassium Fertilizer,Potash,Barley
88,37,28,22.57810160364957,57.426793108396595,6.550940614711786,Clayey,Nitrogen Fertilizer,Superphosphate,Rice
76,43,58,29.506899228887555,51.87578887228537,6.8956655710103405,Loamy,Potassium Fertilizer,Superphosphate,Soybean
58,48,50,21.266414689126496,63.768215497904606,7.300528222404141,Clayey,Phosphorus Fertilizer,Ammonium Nitrate,Corn
64,58,51,29.761654785547467,71.98200424358495,7.084382389603352,Clayey,Phosphorus Fertilizer,Potash,Soybean
64,35,31,25.018799982054404,68.20195174152309,6.852722135745449,Loamy,Potassium Fertilizer,Urea,Wheat
75,30,27,24.520069098809124,70.1861500579424,6.859266364790287,Sandy,Complete Fertilizer,Urea,Corn
91,52,27,17.489323429436773,52.43447535608718,7.391849288064173,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Soybean
62,44,47,28.22891637456966,78.54472130530363,6.091648194993072,Sandy,Potassium Fertilizer,Calcium Nitrate,Soybean
81,30,39,21.412345318809226,75.15475501529075,5.502224188392375,Loamy,Nitrogen Fertilizer,Ammonium Nitrate,Wheat
88,54,26,17.43350108673719,74.15270955486989,6.043909118796398,Clayey,Potassium Fertilizer,Urea,Barley
98,46,30,15.189112799636385,74.68951415125302,5.935782759253488,Loamy,Potassium Fertilizer,Ammonium Nitrate,Corn
81,30,39,23.39633525457574,77.98131524398283,6.823669170227996,Sandy,Organic Compost,Potash,Corn
53,44,35,22.910994331840143,66.32761898341093,6.767423199531058,Loamy,Phosphorus Fertilizer,Superphosphate,Wheat
79,52,23,25.790304335537378,56.00846053602878,6.686922765409448,Loamy,Complete Fertilizer,Urea,Barley
86,31,25,28.35387079526703,68.50350823557623,5.532486886418908,Clayey,Complete Fertilizer,Potash,Corn
72,43,41,16.191098769645443,72.28644481003818,6.957556108901295,Loamy,Organic Compost,Urea,Corn
88,50,45,25.972447355105437,72.13752180062076,6.147060824970983,Loamy,Complete Fertilizer,Calcium Nitrate,Corn
94,37,22,17.811179161463734,65.64347072500641,6.830111978013262,Loamy,Potassium Fertilizer,Ammonium Nitrate,Barley
64,37,33,27.87265579735746,52.05376158000734,6.613156857004307,Clayey,Organic Compost,Calcium Nitrate,Wheat
92,48,30,27.285952707924842,61.133388152903834,6.185461850855814,Sandy,Nitrogen Fertilizer,Superphosphate,Corn
78,36,37,23.111906324783163,77.62299825390072,5.7691525342082155,Sandy,Phosphorus Fertilizer,Calcium Nitrate,Soybean
85,48,31,25.653641979349672,67.53346729272278,5.688837795320962,Loamy,Phosphorus Fertilizer,Urea,Barley
62,35,42,19.715251697756226,66.1499582976714,7.163036666224447,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Rice
81,35,31,22.06751848399222,58.065605431465805,7.336795084163116,Loamy,Potassium Fertilizer,Urea,Wheat
56,32,32,27.324553465657075,61.05346759749737,6.799576093528599,Sandy,Nitrogen Fertilizer,Superphosphate,Soybean
71,36,44,21.888977957598208,76.86038267459509,5.706868229720967,Clayey,Organic Compost,Calcium Nitrate,Corn
77,48,38,20.366973979881628,69.99389142580507,6.304054433776481,Sandy,Organic Compost,Ammonium Nitrate,Rice
51,37,55,22.4131867087545,73.62161080256999,6.957878400210315,Sandy,Phosphorus Fertilizer,Ammonium Nitrate,Wheat
91,39,27,27.423738786558275,63.63036269202965,7.059641768020136,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Barley
94,49,48,20.02812071056309,68.90741658368474,5.736437244582177,Clayey,Nitrogen Fertilizer,Calcium Nitrate,Rice
55,44,51,17.60642389703616,57.45150826229623,5.500061437690765,Loamy,Nitrogen Fertilizer,Calcium Nitrate,Rice
77,44,37,25.68021030496171,71.16382490850458,6.92427409176121,Loamy,Complete Fertilizer,Calcium Nitrate,Soybean
77,58,25,27.389673190621227,62.82804001110012,6.2131923519724115,Sandy,Complete Fertilizer,Urea,Wheat
93,30,37,16.509562177853,63.27636544444237,6.00896266323652,Clayey,Phosphorus Fertilizer,Superphosphate,Soybean
93,49,38,18.59811169133917,69.47966973730645,5.52579493957905,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Soybean
69,59,41,17.12957984641491,78.0884186440678,6.580598813522999,Loamy,Nitrogen Fertilizer,Urea,Corn
79,36,56,20.2191211737325,51.920190398258626,7.202301470851964,Sandy,Organic Compost,Ammonium Nitrate,Barley
60,56,51,21.75526468358119,74.74229712041023,7.415263292545176,Sandy,Organic Compost,Urea,Rice
77,33,22,26.232395054449597,58.77149331236579,6.631489901226578,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Wheat
74,58,47,24.767213773225112,63.31758363519133,6.528922655479788,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Barley
88,35,29,24.313928512176467,50.65739986325027,5.670112770978482,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Barley
82,54,54,20.285624199144817,59.03138233502939,6.597745603085199,Loamy,Organic Compost,Ammonium Nitrate,Wheat
50,30,48,27.6217132962714,65.07893727890391,6.2599581579307895,Loamy,Organic Compost,Potash,Barley
76,58,34,22.069307510972468,51.68528232042317,6.714270561767154,Loamy,Complete Fertilizer,Urea,Corn
62,34,52,29.686574070227316,64.73287188149496,6.277452695753094,Clayey,Phosphorus Fertilizer,Potash,Barley
90,56,26,24.512132074436053,77.81331886575282,5.980598246900733,Loamy,Phosphorus Fertilizer,Urea,Corn
52,52,31,16.89397112346754,53.16179654323415,5.689930550456753,Clayey,Nitrogen Fertilizer,Superphosphate,Rice
88,30,49,25.14266343113151,72.93322184226513,6.129836889177792,Loamy,Nitrogen Fertilizer,Ammonium Nitrate,Rice
55,59,40,19.876560231475484,62.29013160127978,5.693289668575504,Sandy,Complete Fertilizer,Superphosphate,Soybean
57,33,50,25.29490795029146,69.65521143573014,5.853793901647968,Clayey,Potassium Fertilizer,Superphosphate,Corn
76,51,43,16.044617222436088,57.80709793955688,7.474672317159092,Sandy,Potassium Fertilizer,Urea,Rice
58,31,39,17.62322155763939,54.78476787624075,6.3882071138132375,Loamy,Potassium Fertilizer,Potash,Barley
86,39,56,27.836058883586794,54.81387842813679,6.563743533010033,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Wheat
82,34,23,18.407693355352723,52.114758369294336,7.247237057474431,Loamy,Phosphorus Fertilizer,Urea,Wheat
91,56,47,27.555616878644102,55.56940114703729,7.491137800981376,Clayey,Organic Compost,Calcium Nitrate,Corn
93,39,39,19.189141326816156,69.92658154966905,6.665428898689363,Sandy,Phosphorus Fertilizer,Superphosphate,Soybean
73,30,43,24.643228650880616,76.45071835530524,7.124947642088343,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Barley
64,51,51,25.412258602647466,74.42377056773486,6.153882048673351,Clayey,Phosphorus Fertilizer,Potash,Corn
81,35,55,22.689821297175794,70.55402929623452,6.111487914894582,Loamy,Complete Fertilizer,Urea,Wheat
81,42,53,19.57966015045097,53.31295590233308,6.305407441989121,Sandy,Phosphorus Fertilizer,Potash,Corn
73,44,55,18.189665645566443,58.67562338887849,6.845014525347298,Loamy,Nitrogen Fertilizer,Potash,Barley
90,33,21,15.497840318436394,59.29420625967407,6.8643833785101975,Clayey,Nitrogen Fertilizer,Urea,Rice
98,42,34,19.559196018610855,57.49870839192864,6.130478869298901,Loamy,Organic Compost,Potash,Barley
98,53,53,24.797441857969247,65.4501697912917,5.766419848273257,Sandy,Complete Fertilizer,Ammonium Nitrate,Rice
61,49,55,29.07457227672724,66.06661444639018,6.764792512931017,Loamy,Nitrogen Fertilizer,Ammonium Nitrate,Rice
88,53,25,28.068067233945783,60.706579255133306,5.756651724377529,Sandy,Complete Fertilizer,Ammonium Nitrate,Rice
51,44,58,26.49097164802954,60.61367476209308,6.65698501645866,Sandy,Complete Fertilizer,Calcium Nitrate,Corn
52,58,31,26.826710148799478,74.85666793718244,6.886844256112618,Loamy,Organic Compost,Potash,Wheat
98,37,22,24.97477355213993,73.67878544959056,6.901222992788903,Clayey,Complete Fertilizer,Urea,Corn
86,34,37,18.904302863490045,59.23387495042237,7.006944221319193,Loamy,Phosphorus Fertilizer,Urea,Wheat
98,58,59,28.607925460587445,77.41365331619778,7.245718843131329,Clayey,Complete Fertilizer,Calcium Nitrate,Barley
66,44,40,25.06098467858751,78.58445051007519,6.499917983929577,Clayey,Organic Compost,Urea,Soybean
98,33,34,23.406609464706598,59.80227626090122,6.960498379059143,Loamy,Organic Compost,Ammonium Nitrate,Barley
51,41,52,16.664842038202217,60.63274846379164,6.738345470731673,Clayey,Organic Compost,Potash,Corn
51,42,54,21.705833157096382,65.16902460265877,5.873279879595366,Clayey,Nitrogen Fertilizer,Urea,Corn
77,31,45,21.905374068028895,78.2336243760102,5.551379289738817,Loamy,Phosphorus Fertilizer,Urea,Wheat
72,56,27,27.968454142840052,76.28958299426935,6.069082771353868,Loamy,Nitrogen Fertilizer,Superphosphate,Corn
86,48,55,23.199723302816828,53.0770388775077,6.386067412675239,Loamy,Potassium Fertilizer,Superphosphate,Rice
81,48,49,20.706008234556144,61.78192229814249,6.734211888857312,Clayey,Phosphorus Fertilizer,Superphosphate,Corn
82,33,42,29.65200492765989,66.60113569249316,7.199918661006411,Sandy,Complete Fertilizer,Potash,Wheat
50,33,33,16.660808899894736,65.0939741765462,5.8924914334123315,Clayey,Organic Compost,Ammonium Nitrate,Wheat
68,55,33,21.33822642467917,55.81589203810678,5.751099579796954,Sandy,Potassium Fertilizer,Ammonium Nitrate,Rice
51,40,21,15.63037012757108,75.76450313504463,7.426959894948655,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Wheat
93,56,56,26.098561811503956,70.30822348990512,5.716089118752814,Sandy,Nitrogen Fertilizer,Potash,Soybean
75,34,24,28.77114828298726,75.13725124555411,6.456982140214379,Loamy,Organic Compost,Potash,Barley
81,49,57,19.200559943257343,75.76292838048417,6.6711274575866035,Loamy,Nitrogen Fertilizer,Superphosphate,Corn
55,40,33,27.875125151986815,72.4506756099722,6.582748841814876,Sandy,Phosphorus Fertilizer,Urea,Soybean
81,59,58,19.383273456928467,63.17631803749152,5.672064314065887,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Corn
53,39,44,28.66155242465873,68.31640265046273,5.614053828007239,Sandy,Potassium Fertilizer,Calcium Nitrate,Soybean
60,37,39,26.30942855395176,54.810962183592295,5.710966854922072,Loamy,Complete Fertilizer,Urea,Corn
66,35,21,27.07360165262158,70.20936252424723,6.671175367745225,Clayey,Nitrogen Fertilizer,Superphosphate,Rice
87,35,58,15.270098334006818,55.377597672178425,6.588689775268643,Clayey,Potassium Fertilizer,Urea,Wheat
73,37,25,29.44215535611039,70.81848771530471,5.9674815840734885,Loamy,Organic Compost,Urea,Wheat
54,52,36,25.90006488105485,56.88794482261906,6.775548283691183,Loamy,Complete Fertilizer,Calcium Nitrate,Rice
83,44,44,19.571266430792,53.5265390045066,7.140135004111299,Sandy,Potassium Fertilizer,Superphosphate,Soybean
55,55,47,27.440919972882703,54.958534704288724,5.583157919693187,Clayey,Nitrogen Fertilizer,Potash,Barley
71,43,21,19.22281797622395,50.05976405657211,6.496259887096085,Sandy,Phosphorus Fertilizer,Calcium Nitrate,Soybean
60,40,54,28.09130759349192,71.56218853560591,6.878620824205381,Loamy,Organic Compost,Potash,Wheat
97,41,56,16.688705856179055,71.97203147175136,6.004623854139374,Loamy,Nitrogen Fertilizer,Superphosphate,Barley
